Tinh_TP,Quan_huyen,Phuong_xa,Vi_do,Kinh_do
Hải Phòng,Thủy Nguyên,Minh Tân,20.96718786,106.7022462
Hải Phòng,Thủy Nguyên,Mỹ Đồng,20.93929908,106.6342772
Hải Phòng,Thủy Nguyên,Ngũ Lão,20.94012293,106.7278135
Hải Phòng,Thủy Nguyên,Núi Đèo,20.91845243,106.6754436
Hải Phòng,Thủy Nguyên,Phả lễ,20.91276668,106.7456376
Hải Phòng,Thủy Nguyên,Phù Ninh,20.97681147,106.5931592
Hải Phòng,Thủy Nguyên,Phục Lễ,20.92509138,106.7453871
Hải Phòng,Thủy Nguyên,Quảng Thanh,20.96439345,106.6132119
Hải Phòng,Thủy Nguyên,Tân Dương,20.8877855,106.6772506
Hải Phòng,Thủy Nguyên,Thiên Hương,20.92092542,106.6472582
Hải Phòng,Thủy Nguyên,Thủy Đường,20.91877525,106.6869595
Hải Phòng,Thủy Nguyên,Thủy Sơn,20.92170074,106.6645269
Hải Phòng,Thủy Nguyên,Thủy Triều,20.90103796,106.7181888
Hải Phòng,Thủy Nguyên,Trung Hà,20.92356619,106.7036509
Hải Phòng,Vĩnh Bảo,Lý Học,,
Hải Phòng,Vĩnh Bảo,Vĩnh Phong,,
Hải Phòng,An Dương,Tân Tiến,,
Hải Phòng,Uông Bí,Phương Nam,,
Hải Phòng,Uông Bí,Quang Trung,,
Hậu Giang,Phụng Hiệp,Hòa An,,
Hòa Bình,Lạc Thủy,An Bình,,
Hòa Bình,Mai Châu,Bao La,,
Hồng Bàng,Sở Dầu,Số 6 An Trì,,
Hưng Yên,Khoái Châu,Bình Minh,,
Hưng Yên,Tiên Lữ,Minh Phượng,,
Khánh Hòa,Diên Khánh,Diên Toàn,,
Khánh Hòa,Ninh Hòa,Ninh Đa,,
Khu 3,Tổ 3,Đường Lý Thường Kiệt,,
Kiên Giang,TP.Phú Quốc,Hàm Ninh,,
Kon Tum,Đắk Glei,Đắk Môn,,
Lai Châu,Mường Nhè,Mường Toong,,
Lai Châu,Phong Thổ,Dào San,,
Lai Châu,Phong Thổ,Thị trấn Phong Thổ,,
Lai Châu,Phong Thổ,TT. Phong Thổ,,
Lai Châu,Sìn Hồ,Nậm Cuổi,,
Lai Châu,Tam Đường,Bản Giang,,
Lai Châu,Tam Đường,Bình Lư,,
Lai Châu,Tân Uyên,Nậm Cần,,
Lai Châu,Tân Uyên,Pắc Ta,,
Lai Châu,Tân Uyên,Trung Đồng,,
Lai Châu,Than Uyên,Mường Mít,,
Lai Châu,Than Uyên,Tà Mung,,
Lạng Sơn,Bắc Sơn,Thanh Vũ Lăng,,
Lạng Sơn,Cao Lộc,Bảo Lâm,,
Lạng Sơn,Tràng Định,Đại Đồng,,
Lào Cai,Bảo Thắng,Phú Nhuận,,
Lào Cai,Bảo Thắng,Sơn Hà,,
Lào Cai,Bảo Yên,Điện Quan,,
Lào Cai,Bảo Yên,Kim Sơn,,
Lào Cai,Bảo Yên,Thượng Hà,,
Lào Cai,Bát Xát,Cốc Mỳ,,
Lào Cai,Văn Bàn,Nậm Tha,,
Lào Cai,Văn Bàn,Tân Thượng,,
Lê Chân,Cát Dài,37/89/20 Trần Nguyên Hãn,,
Mỹ Hòa,Khóm Tây Khánh 8,Tổ 12,,
Nam Định,Hải Hậu,Hải Hòa,,
Nam Định,Mỹ Lộc,Mỹ Thuận,,
Nam Định,Ý Yên,Yên Phương,,
Nghệ An,Anh Sơn,Đỉnh Sơn,,
Nghệ An,Anh Sơn,Long Sơn,,
Nghệ An,Con Cuông,Bình Chuẩn,,
Nghệ An,Con Cuông,Đôn Phục,,
Nghệ An,Con Cuông,Lục Dạ,,
Nghệ An,Con Cuông,Bình Chuẩn,,
Nghệ An,Diễn Châu,Diễn An,,
Nghệ An,Diễn Châu,Diễn Bích,,
Nghệ An,Diễn Châu,Diễn Cát,,
Nghệ An,Diễn Châu,Diễn Đoài,,
Nghệ An,Diễn Châu,Diễn Hải,,
Nghệ An,Diễn Châu,Diễn Hạnh,,
Nghệ An,Diễn Châu,Diễn Hoàng,,
Nghệ An,Diễn Châu,Diễn Hồng,,
Nghệ An,Diễn Châu,Diễn Hùng,,
Nghệ An,Diễn Châu,Diễn Kim,,
Nghệ An,Diễn Châu,Diễn Kỷ,,
Nghệ An,Diễn Châu,Diễn Lâm,,
Nghệ An,Diễn Châu,Diễn Liên,,
Nghệ An,Diễn Châu,Diễn Mỹ,,
Nghệ An,Diễn Châu,Diễn Ngọc,,
Nghệ An,Diễn Châu,Diễn Phong,,
Nghệ An,Diễn Châu,Diễn Thành,,
Nghệ An,Diễn Châu,Diễn Tháp,,
Nghệ An,Diễn Châu,Diễn Trung,,
Nghệ An,Diễn Châu,Diễn Trường,,
Nghệ An,Diễn Châu,Diễn Vạn,,
Nghệ An,Diễn Châu,Diễn Xuân,,
Nghệ An,Diễn Châu,Diễn Yên,,
Nghệ An,Diễn Châu,Thị trấn Diễn Châu,,
Nghệ An,Diễn Châu,Diễn Phong,,
Nghệ An,Diễn Châu,Diễn Trường,,
Nghệ An,Đô Lương,Bồi Sơn,,
Nghệ An,Đô Lương,Giang Sơn Đông,,
Nghệ An,Đô Lương,Hiến Sơn,,
Nghệ An,Hoàng Mai,Mai Hùng,,
Nghệ An,Hoàng Mai,Quỳnh Lập,,
Nghệ An,Hoàng Mai,Quỳnh Vinh,,
Nghệ An,Hưng Nguyên,Hưng Tây,,
Nghệ An,Hưng Nguyên,Hưng Trung,,
Nghệ An,Kỳ Sơn,Hữu Lập,,
Nghệ An,Kỳ Sơn,Mường Ải,,
Nghệ An,Kỳ Sơn,Mỹ Lý,,
Nghệ An,Kỳ Sơn,Nậm Cắn,,
Nghệ An,Kỳ Sơn,Phà Đánh,,
Nghệ An,Kỳ Sơn,Tà Cạ,,
Nghệ An,Nghĩa Đàn,Nghĩa Đức,,
Nghệ An,Nghĩa Đàn,Nghĩa Hội,,
Nghệ An,Nghĩa Đàn,Nghĩa Lợi,,
Nghệ An,Nghĩa Đàn,Nghĩa Long,,
Nghệ An,Nghĩa Đàn,Nghĩa Yên,,
Nghệ An,Quế Phong,Tri Lễ,,
Nghệ An,Quỳ Hợp,Châu Cường,,
Nghệ An,Quỳ Hợp,Châu Quang,,
Nghệ An,Quỳnh Lưu,An Hòa,,
Nghệ An,Quỳnh Lưu,Cầu Giát,,
Nghệ An,Quỳnh Lưu,Ngọc Sơn,,
Nghệ An,Quỳnh Lưu,Quỳnh Bá,,
Nghệ An,Quỳnh Lưu,Quỳnh Bảng,,
Nghệ An,Quỳnh Lưu,Quỳnh Châu,,
Nghệ An,Quỳnh Lưu,Quỳnh Diễn,,
Nghệ An,Quỳnh Lưu,Quỳnh Đôi,,
Nghệ An,Quỳnh Lưu,Quỳnh Giang,,
Nghệ An,Quỳnh Lưu,Quỳnh Hậu,,
Nghệ An,Quỳnh Lưu,Quỳnh Hoa,,
Nghệ An,Quỳnh Lưu,Quỳnh Hồng,,
Nghệ An,Quỳnh Lưu,Quỳnh Hưng,,
Nghệ An,Quỳnh Lưu,Quỳnh Lâm,,
Nghệ An,Quỳnh Lưu,Quỳnh Long,,
Nghệ An,Quỳnh Lưu,Quỳnh Lương,,
Nghệ An,Quỳnh Lưu,Quỳnh Mỹ,,
Nghệ An,Quỳnh Lưu,Quỳnh Nghĩa,,
Nghệ An,Quỳnh Lưu,Quỳnh Ngọc,,
Nghệ An,Quỳnh Lưu,Quỳnh Tam,,
Nghệ An,Quỳnh Lưu,Quỳnh Tân,,
Nghệ An,Quỳnh Lưu,Quỳnh Thạch,,
Nghệ An,Quỳnh Lưu,Quỳnh Thanh,,
Nghệ An,Quỳnh Lưu,Quỳnh Thọ,,
Nghệ An,Quỳnh Lưu,Quỳnh Thuận,,
Nghệ An,Quỳnh Lưu,Quỳnh Văn,,
Nghệ An,Quỳnh Lưu,Quỳnh Yên,,
Nghệ An,Quỳnh Lưu,Sơn Hải,,
Nghệ An,Quỳnh Lưu,Tiến Thủy,,
Nghệ An,Quỳnh Lưu,Quỳnh Lâm,,
Nghệ An,Tân Kỳ,Giai Xuân,,
Nghệ An,Tân Kỳ,Hương Sơn,,
Nghệ An,Tân Kỳ,Tân Xuân,,
Nghệ An,Tân Kỳ,Nghĩa Dũng,,
Nghệ An,Thái Hòa,Long Sơn,,
Nghệ An,Thanh Chương,Thị trấn Thanh Chương,,
Nghệ An,Thị xã Hoàng Mai,Mai Hùng,,
Nghệ An,Thị xã Hoàng Mai,Quỳnh Dị,,
Nghệ An,Thị xã Hoàng Mai,Quỳnh Lập,,
Nghệ An,Thị xã Hoàng Mai,Quỳnh Phương,,
Nghệ An,Thị xã Hoàng Mai,Quỳnh Trang,,
Nghệ An,Thị xã Hoàng Mai,Quỳnh Vinh,,
Nghệ An,Thị xã Hoàng Mai,Quỳnh Xuân,,
Nghệ An,Tương Dương,Hữu Khuông,,
Nghệ An,Tương Dương,Mai Sơn,,
Nghệ An,Yên Thành,Đô Thành,,
Nghệ An,Yên Thành,Đức Thành,,
Nghệ An,Yên Thành,Hợp Thành,,
Nghệ An,Yên Thành,Tân Thành,,
Nghệ An,Yên Thành,Thọ Thành,,
Nghệ An,Yên Thành,Tiến Thành,,
Nghệ An,Yên Thành,Vĩnh Thành,,
Nghệ An,Diễn Châu,Diễn Hoàng,,
Nghệ An,Diễn Châu,Diễn Lâm,,
Nghệ An,Huyện Quỳnh Lưu,Quỳnh Thuận,,
Nghệ An,Quỳnh Lưu,An Hòa,,
Ngô Quyền,Máy Tơ,Số 27 Lê Lợi,,
Ninh Bình,Nho Quan,Kỳ Phú,,
Ninh Bình,Nho Quan,Quảng Lạc,,
Phú Thọ,Thanh Sơn,Thượng Cửu,,
Phú Thọ,Thanh Sơn,Yên Sơn,,
Phú Thọ,Thanh Thủy,Hoàng Xá,,
Quảng Bình,Lệ Thủy,Kiến Giang,,
Quảng Bình,Lệ Thủy,Xuân Thủy,,
Quảng Nam,Tiên Phước,Tiên Châu,,
Quảng Ninh,Cẩm Phả,Cửa Ông,,
Quảng Ninh,Cẩm Phả,Quang Thanh,,
Quảng Ninh,Đông Triều,An Sinh,,
Quảng Ninh,Đông Triều,Bình Dương,,
Quảng Ninh,Đông Triều,Đông Triều,,
Quảng Ninh,Đông Triều,Đức Chính,,
Quảng Ninh,Đông Triều,Hoàng Quê,,
Quảng Ninh,Đông Triều,Hoàng Quế,,
Quảng Ninh,Đông Triều,Hồng Thái Đông,,
Quảng Ninh,Đông Triều,Hồng Thái Tây,,
Quảng Ninh,Đông Triều,Hưng Đạo,,
Quảng Ninh,Đông Triều,Mạo Khê,,
Quảng Ninh,Đông Triều,Thủy An,,
Quảng Ninh,Đông Triều,Tràng An,,
Quảng Ninh,Đông Triều,Xuân Sơn,,
Quảng Ninh,Đông Triều,Yên Đức,,
Quảng Ninh,Đông Triều,Yên Thọ,,
Quảng Ninh,Hải Hà,Quảng Thành,,
Quảng Ninh,Quảng Yên,Cộng Hòa,,
Quảng Ninh,Quảng Yên,Hà An,,
Quảng Ninh,Quảng Yên,Hiệp Hòa,,
Quảng Ninh,Quảng Yên,Hoàng Tân,,
Quảng Ninh,Quảng Yên,Liên Vị,,
Quảng Ninh,Quảng Yên,Nam Hòa,,
Quảng Ninh,Quảng Yên,Phong Cốc,,
Quảng Ninh,Quảng Yên,Phong Hải,,
Quảng Ninh,Quảng Yên,Phường Phong Hải,,
Quảng Ninh,Quảng Yên,Phường Quảng Yên,,
Quảng Ninh,Quảng Yên,Phường Tân An,,
Quảng Ninh,Quảng Yên,Sông Khoai,,
Quảng Ninh,Quảng Yên,Tiền An,,
Quảng Ninh,Quảng Yên,Yên Giang,,
Quảng Ninh,Quảng Yên,Yên Hải,,
Quảng Ninh,Uông Bi,Phương Đông,,
Quảng Ninh,Uông Bí,Bắc Sơn,,
Quảng Ninh,Uông Bí,Phú Thanh Đông,,
Quảng Ninh,Uông Bí,Phương Đông,,
Quảng Ninh,Uông Bí,Phương Nam,,
Quảng Ninh,Uông Bí,Quang Trung,,
Quảng Ninh,Uông Bí,Thanh Sơn,,
Quảng Ninh,Uông Bí,Thượng Yên Công,,
Quảng Ninh,Uông Bí,Yên Thanh,,
Quảng Ninh,Vân Đồn,Đông Xá,,
Quảng Ninh,Yên Hưng,Liên Vị,,
Quảng Ninh,Đông Triều,Hồng Thái Tây,,
Quảng Ninh,Thị xã Quảng Yên,,,
Quỳnh Lưu,Quỳnh Thọ,NULL,,
Sơn La,Mai Sơn,Chiềng Chăn,,
Sơn La,Mai Sơn,Chiềng Mai,,
Sơn La,Mai Sơn,Chiềng Ve,,
Sơn La,Mai Sơn,Cò Nòi,,
Sơn La,Mộc Châu,Chiềng Khừa,,
Sơn La,Mộc Châu,Lóng Sập,,
Sơn La,Mường La,Chiềng San,,
Sơn La,Mường La,Ít Ong,,
Sơn La,Quỳnh Nhai,Chiềng Khay,,
Sơn La,Quỳnh Nhai,Chiềng Khoang,,
Sơn La,Quỳnh Nhai,Mường Chiên,,
Sơn La,Sông Mã,Chiềng En,,
Sơn La,Sông Mã,Huổi Một,,
Sơn La,Sông Mã,Nà Nghịu,,
Sơn La,Sông Mã,Yên Hưng,,
Sơn La,Sông Mã,Bản Mung Nà Nghịu,,
Sơn La,Sốp Cộp,Sam Kha,,
Sơn La,Sốp Cộp,xã Dồm Cang,,
Sơn La,Thuận Châu,Chiềng Bôm,,
Sơn La,Thuận Châu,Chiềng La,,
Sơn La,Thuận Châu,Chiềng Pha,,
Sơn La,Thuận Châu,Mường Bám,,
Sơn La,Thuận Châu,Mường É,,
Sơn La,Thuận Châu,Phổng Lái,,
Sơn La,Thuận Châu,Phổng Lập,,
Sơn La,Thuận Châu,Tông Cọ,,
Sơn La,Vân Hồ,Tô Múa,,
Sơn La,Quỳnh Nhai,Nặm Ét,,
Thái Binh,Thái Thụy,Thụy Phong,,
Thái Bình,Hưng Hà,Cộng Hòa,,
Thái Bình,Hưng Hà,Văn Lang,,
Thái Bình,Kiến Xương,Vũ An,,
Thái Bình,Quỳnh Phụ,An Hiệp,,
Thái Bình,Thái Thụy,An Tân,,
Thái Bình,Thái Thụy,Sơn Hà,,
Thái Bình,Thái Thụy,Thái Nguyên,,
Thái Bình,Tiền Hải,Đông Minh,,
Thái Bình,Tiền Hải,Nam Cường,,
Thái Bình,Tiền Hải,Phương Công,,
Thanh Hóa,Bá Thước,Ban Công,,
Thanh Hóa,Bá Thước,Thiết Ống,,
Thanh Hóa,Hoằng Hóa,Hoằng Phụ,,
Thanh Hóa,Mường Lát,Quang Chiểu,,
Thanh Hóa,Nghi Sơn,Hải Bình,,
Thanh Hóa,Như Thanh,Cán Khê,,
Thanh Hóa,Nông Cống,Tượng Lĩnh,,
Thanh Hóa,Thường Xuân,Yên Nhân,,
Thừa Thiên Huế,Phú Lộc,Lộc Trì,,
TP Uông Bí,Phương Nam,Cẩm Hồng,,
Trà Vinh,Càng Long,Đại Phước,,
Tuyên Quang,Hàm Yên,Bạch Xa,,
Tuyên Quang,Hàm Yên,Thái Hòa,,
Tuyên Quang,Hàm Yên,Bạch Xa,,
Uông Bí,Bắc Sơn,Khu 2,,
Uông Bí,Phương Nam,Hồng Hà,,
Uông Bí,Phương Nam,Khu Bạch Đằng 1,,
Uông Bí,Phương Nam,Khu Hiệp Thái,,
Uông Bí,Phương Nam,Khu Hợp Thành,,
Uông Bí,Yên Thanh,Khu Núi Gạc,,
Vĩnh Phúc,Sông Lô,Đức Bác,,
Vĩnh Phúc,Vĩnh Tường,Thượng Trưng,,
Vĩnh Tuy,Tổ Dân Phố Bình Long,Đường Trần Phú,,
Yên Bái,Lục Yên,Vĩnh Lạc,,
Yên Bái,Nghĩa Lộ,Phù Nham,,
Yên Bái,Nghĩa Lộ,Sơn A,,
Yên Bái,Trạm Tấu,Bản Mù,,
Yên Bái,Trạm Tấu,Tà Xi Láng,,
Yên Bái,Văn Chấn,Đại Lịch,,
Yên Bái,Văn Chấn,Sơn A,,
Yên Bái,Văn Chấn,Sơn Lương,,
Bắc Giang,Lạng Giang,Tân Dĩnh,,
Bắc Giang,Sơn Động,Khả Vân Sơn,,
Cao Bằng,Trùng Khánh,Cao Chương,,
Điên Biên,Điện Biên,Na Ư,,
Điện Biên,Điện Biên Đông,Phìng Giang,,
Điện Biên,Điện Biên Đông,Phình Giàng,,
Điện Biên,Điện Biên Đông,Pu Nhi,,
Điện Biên,Mường Ảng,Ngối Cáy,,
Điện Biên,Mường Chà,Na Sang,,
Điện Biên,Nậm Pồ,Nà Bủng,,
Điện Biên,Tuần Giáo,Quài Tở,,
Hải Phòng,Hải An,Đằng Hải,,
Hải Phòng,Lê Chân,Trại Cau,,
Hải Phòng,Ngô Quyền,Cầu Tre,,
Lai Châu,Phong Thổ,Mù Sang,,
Nghệ An,Diễn Châu,Diễn Hải,,
Nghệ An,Diễn Châu,Diễn Hoàng,,
Nghệ An,Diễn Châu,Diễn Hồng,,
Nghệ An,Diễn Châu,Diễn Hùng,,
Nghệ An,Diễn Châu,Diễn Kim,,
Nghệ An,Diễn Châu,Diễn Mỹ,,
Nghệ An,Diễn Châu,Diễn Yên,,
Nghệ An,Quỳnh Lưu,An Hòa,,
Nghệ An,Quỳnh Lưu,Cầu Giát,,
Nghệ An,Quỳnh Lưu,Quỳnh Châu,,
Nghệ An,Quỳnh Lưu,Quỳnh Hưng,,
Nghệ An,Quỳnh Lưu,Quỳnh Mỹ,,
Nghệ An,Yên Thành,Đô Thành,,
Nghệ An,Yên Thành,Thọ Thành,,
Quảng Ninh,Đông Triều,Hồng Thái Đông,,
Quảng Ninh,Đông Triều,Mạo Khê,,
Quảng Ninh,Hải Hà,Quảng Sơn,,
Sơn La,Mường La,Mường Trai,,
Sơn La,Sốp Cộp,Mường Lèo,,
Thái Bình,Đông Hưng,An Châu,,
Thành Phố Hà Nội,Huyện Gia Lâm,Xã Phù Đổng,,
Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Trạch Mỹ Lộc,,
Thành Phố Hải Phòng,Huyện Thuỷ Nguyên,Xã Kênh Giang,,
Tỉnh Đắk Lắk,Huyện Cư Mgar,Xã Ea Kuêh,,
Tỉnh Đắk Nông,Huyện Cư Jút,Xã Ea Pô,,
Tỉnh Đồng Nai,Thành phố Biên Hòa,Phường Trảng Dài,,
Tỉnh Hà Nam,Huyện Lý Nhân,Xã Công Lý,,
Tỉnh Hải Dương,Huyện Thanh Hà,Xã Hồng Lạc,,
Tỉnh Khánh Hòa,Thành phố Nha Trang,Phường Phước Hải,,
Tỉnh Long An,Huyện Châu Thành,Xã Vĩnh Công,,
Tỉnh Nghệ An,Huyện Anh Sơn,Xã Tường Sơn,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Bích,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Đoài,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Đồng,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Hải,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Hoàng,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Hồng,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Hùng,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Kim,,
Tỉnh Nghệ An,Huyện Diễn Châu,Xã Diễn Kỷ,,
